time,open,high,low,close,volume,ticker
2021-05-06,79120,79120,77050,77050,7448600,VNM
2021-05-07,76540,76710,74640,74820,6744500,VNM
2021-05-10,74820,79990,74040,79990,8176900,VNM
2021-05-11,80410,81270,78430,78430,4197000,VNM
2021-05-12,77490,79290,77400,78950,3199300,VNM
2021-05-13,78250,78860,77830,77830,3118400,VNM
2021-05-14,78340,78430,76970,76970,4391200,VNM
2021-05-17,76970,77400,74990,74990,5001300,VNM
2021-05-18,75260,75670,74640,74820,2970100,VNM
2021-05-19,75510,76540,74910,75260,3526100,VNM
2021-05-20,75580,75760,74820,75670,2800500,VNM
2021-05-21,75580,78090,74910,76710,3942800,VNM
2021-05-24,77400,79040,76970,78430,4349800,VNM
2021-05-25,78430,78430,77400,77830,2791200,VNM
2021-05-26,77400,79040,76790,78250,3773300,VNM
2021-05-27,78600,78770,77400,77830,2924300,VNM
2021-05-28,78250,78860,77740,78340,3122200,VNM
2021-05-31,78950,79120,77580,77830,3095900,VNM
2021-06-01,77830,77990,77310,77310,2339900,VNM
2021-06-02,77050,77050,76540,76880,3672400,VNM
2021-06-03,77400,78090,77220,77580,3629000,VNM
2021-06-04,77660,78250,76630,76970,4564400,VNM
2021-06-07,77920,78010,76630,77840,3736600,VNM
2021-06-08,77920,79490,77840,78100,5477700,VNM
2021-06-09,78190,78450,77320,77590,3013500,VNM
2021-06-10,77840,81490,77140,80280,5619300,VNM
2021-06-11,80280,80550,79390,80100,2940400,VNM
2021-06-14,80550,81420,79670,80550,4875100,VNM
2021-06-15,80630,81150,80190,80880,4534800,VNM
2021-06-16,80710,80960,79490,79930,3041200,VNM
2021-06-17,79250,80280,79070,79250,2388800,VNM
2021-06-18,79580,80710,79580,80190,2971800,VNM
2021-06-21,80100,80190,78880,78880,4193600,VNM
2021-06-22,79250,79670,78880,78880,2242800,VNM
2021-06-23,78880,79070,78100,78360,3357300,VNM
2021-06-24,78270,78530,76880,77230,4225000,VNM
2021-06-25,77230,78270,77230,78100,2079300,VNM
2021-06-28,78360,78530,77500,77670,1847900,VNM
2021-06-29,78190,79840,77500,79250,4368100,VNM
2021-06-30,79250,79310,78530,78710,2115600,VNM
2021-07-01,78880,79490,78710,79150,3811500,VNM
2021-07-02,79250,79250,78450,78450,2750900,VNM
2021-07-05,78450,78710,77140,77670,2931000,VNM
2021-07-06,77840,78190,75750,75750,3993400,VNM
2021-07-07,75750,78190,75400,78190,4738700,VNM
2021-07-08,76790,77840,76630,76970,1908900,VNM
2021-07-09,76880,76970,75650,75750,3058100,VNM
2021-07-12,76170,76630,73400,75140,4833100,VNM
2021-07-13,74980,75310,73310,73400,2883300,VNM
2021-07-14,74010,74620,73410,74010,4180200,VNM
2021-07-15,74010,75140,73570,74170,3284100,VNM
2021-07-16,74450,75060,74270,74790,1449600,VNM
2021-07-19,73490,74010,73130,74010,4111700,VNM
2021-07-20,74010,74880,73410,74790,3207300,VNM
2021-07-21,74360,74790,74170,74270,1696200,VNM
2021-07-22,74450,75840,74270,75580,2152400,VNM
2021-07-23,75580,78190,74980,76270,4102400,VNM
2021-07-26,76630,77670,76540,77400,2791400,VNM
2021-07-27,77400,77920,76170,76170,2388200,VNM
2021-07-28,75840,76120,75400,75650,1665500,VNM
2021-07-29,75740,76360,74880,75580,2648300,VNM
2021-07-30,75580,75920,74790,74980,4405200,VNM
2021-08-02,75060,75650,74880,75310,2543500,VNM
2021-08-03,75400,76170,75400,75840,2714600,VNM
2021-08-04,76170,76170,75740,75840,2873000,VNM
2021-08-05,75650,75840,75400,75400,2833600,VNM
2021-08-06,75650,76970,75400,75920,3960600,VNM
2021-08-09,75920,76540,75740,76360,2731300,VNM
2021-08-10,76630,78360,76630,77840,5965600,VNM
2021-08-11,78270,79580,78190,79150,5330400,VNM
2021-08-12,79070,79670,78620,78800,4287800,VNM
2021-08-13,78710,78800,77670,78270,4105500,VNM
2021-08-16,78270,78880,77500,77920,3270800,VNM
2021-08-17,78010,78450,77590,77750,2202200,VNM
2021-08-18,77920,79150,77840,78360,4710100,VNM
2021-08-19,78800,78800,78190,78620,3061300,VNM
2021-08-20,78620,78620,75740,76450,4326800,VNM
2021-08-23,76360,76450,74880,74880,4356500,VNM
2021-08-24,74980,75740,74620,75140,2375700,VNM
2021-08-25,75230,75840,74880,75650,1675500,VNM
2021-08-26,75650,76360,75490,75740,1896000,VNM
2021-08-27,76120,76170,75490,75740,2346900,VNM
2021-08-30,75840,76270,75740,76120,4306000,VNM
2021-08-31,76170,76270,75840,76120,2957200,VNM
2021-09-01,76120,77320,75920,76710,3430100,VNM
2021-09-06,76880,77320,76790,76880,3212200,VNM
2021-09-07,77770,77770,76450,76450,2622200,VNM
2021-09-08,76450,76450,75560,75630,3682200,VNM
2021-09-09,75630,75730,75290,75460,2452400,VNM
2021-09-10,75460,77050,75290,76630,3962100,VNM
2021-09-13,76630,77410,76450,77240,2956200,VNM
2021-09-14,77240,77330,76710,77050,2482900,VNM
2021-09-15,76880,76880,76260,76260,2425000,VNM
2021-09-16,76630,76630,76100,76530,1825400,VNM
2021-09-17,76530,78300,76450,76630,5292600,VNM
2021-09-20,77600,78920,77330,78560,5447700,VNM
2021-09-21,77940,78750,77690,78650,3096300,VNM
2021-09-22,78390,81220,78390,81040,10050100,VNM
2021-09-23,81040,81840,80060,80430,3941300,VNM
2021-09-24,80600,80950,80160,80340,2990000,VNM
2021-09-27,80250,80950,78650,78650,5053900,VNM
2021-09-28,78650,79630,77940,79100,3757200,VNM
2021-09-29,79100,79810,78560,79360,2763400,VNM
2021-09-30,79630,80340,79360,79360,2799400,VNM
2021-10-01,79100,80060,78920,79530,3805400,VNM
2021-10-04,80160,80690,79810,79900,3060200,VNM
2021-10-05,79990,79990,79360,79360,2268000,VNM
2021-10-06,79360,79810,79010,79100,2498500,VNM
2021-10-07,79100,79190,78650,78650,2981800,VNM
2021-10-08,78750,79710,78560,79360,2618600,VNM
2021-10-11,79710,80060,79280,79710,2474800,VNM
2021-10-12,80060,80860,79810,80060,3616300,VNM
2021-10-13,80600,80860,79710,79810,3793100,VNM
2021-10-14,79900,80160,79360,79710,2006400,VNM
2021-10-15,79710,80340,79360,79710,3206000,VNM
2021-10-18,79710,79810,79010,79530,2305800,VNM
2021-10-19,79530,80160,79530,79990,5984500,VNM
2021-10-20,80060,80250,78830,79710,3480500,VNM
2021-10-21,79710,79810,78920,78920,2936500,VNM
2021-10-22,79280,80160,79010,80160,4487700,VNM
2021-10-25,80160,80250,79630,79810,2769500,VNM
2021-10-26,79710,79900,79190,79360,1641200,VNM
2021-10-27,79710,80250,79440,80060,3549900,VNM
2021-10-28,80160,81040,80160,80250,4093700,VNM
2021-10-29,80250,80600,79990,80340,3748500,VNM
2021-11-01,80430,80860,79530,79710,5083800,VNM
2021-11-02,79710,79710,78830,79010,4888900,VNM
2021-11-03,78920,79280,78120,78120,5547900,VNM
2021-11-04,78300,78560,78030,78300,2513000,VNM
2021-11-05,78480,79190,78390,79010,2654600,VNM
2021-11-08,79440,80690,79360,80430,6171800,VNM
2021-11-09,80600,80690,79440,79530,3695000,VNM
2021-11-10,79710,79810,79100,79440,2666100,VNM
2021-11-11,79530,80060,79100,79360,3380600,VNM
2021-11-12,79710,79810,78920,79100,2120400,VNM
2021-11-15,79280,79360,78830,78830,3268000,VNM
2021-11-16,78830,79100,78390,78480,3251700,VNM
2021-11-17,78480,79360,78480,78650,2514400,VNM
2021-11-18,78650,78650,77940,77940,3900000,VNM
2021-11-19,77940,78300,76170,76260,5151200,VNM
2021-11-22,76170,76630,76100,76350,3497600,VNM
2021-11-23,76630,76790,76170,76450,2198800,VNM
2021-11-24,76630,77510,76630,77510,2124500,VNM
2021-11-25,77510,78120,77240,77510,2175400,VNM
2021-11-26,77600,78650,77510,78210,3015700,VNM
2021-11-29,77770,77860,77240,77510,2835900,VNM
2021-11-30,77600,78650,77600,77600,3177100,VNM
2021-12-01,77940,78480,77410,77510,1894500,VNM
2021-12-02,77510,77940,77410,77410,1254100,VNM
2021-12-03,77600,77940,76000,76000,2900400,VNM
2021-12-06,76170,76710,75560,75560,3168200,VNM
2021-12-07,76000,76630,75630,76630,1530000,VNM
2021-12-08,76450,76630,75900,76170,1294500,VNM
2021-12-09,76100,77150,75900,77050,1449900,VNM
2021-12-10,76630,77050,76000,76450,1485000,VNM
2021-12-13,76450,76880,76170,76530,1495700,VNM
2021-12-14,76530,76970,76350,76450,1671200,VNM
2021-12-15,76530,76790,76450,76450,1214100,VNM
2021-12-16,76450,76710,76170,76710,1610300,VNM
2021-12-17,76710,76790,75900,75900,2660200,VNM
2021-12-20,76170,76450,75820,75900,1807000,VNM
2021-12-21,76000,76170,75730,75730,1192900,VNM
2021-12-22,75900,76350,75560,75630,1844400,VNM
